,api name
0,mediarecorder
1,images$media
2,secureclassloader
3,packagemanager
4,smsmanager
5,context
6,fileoutputstream
7,dexclassloader
8,class
9,audiomanager
10,jsonobject
11,telephonymanager
12,urlconnection
13,android/provider/contactscontract$commondatakinds$phone
14,crypto/cipher
15,secretkeyspec
16,wifiinfo
17,zipoutputstream
18,android/provider/contacts
19,audiorecord
20,pendingintent
21,uuid
22,sslhttpsurlconnection
23,runtime
24,string
25,client/defaulthttpclient
26,environment
27,deviceadminreceiver
28,uri
29,client/httpclient
30,reflect/accessibleobject
31,activitymanager
32,gsm/smsmanager
33,telephony/itelephony
34,audio/media
35,locationmanager
36,contentresolver
37,crypto/keygenerator
38,wifimanager
39,system
40,video$media
41,android/provider/calllog$calls
42,urlclassloader
43,android/provider/contacts$phones
44,devicepolicymanager
45,assetmanager
46,httpurlconnection
47,/browser$
